timestamp,cooling_load,power_consumption
2022-01-01 00:00:00,386.9965260302634,334.063629870722
2022-01-01 01:00:00,554.9626627243669,521.782669679881
2022-01-01 02:00:00,503.4860773898941,458.0270178603785
2022-01-01 03:00:00,498.29775639876357,441.6513697875991
2022-01-01 04:00:00,561.0441340966175,562.1554517805388
2022-01-01 05:00:00,451.3105553739285,469.77012880592775
2022-01-01 06:00:00,553.4535341636062,489.70807568260483
2022-01-01 07:00:00,479.41145375980955,428.7564768031908
2022-01-01 08:00:00,573.2059067123354,512.9770256435313
2022-01-01 09:00:00,459.7403230396217,408.29402569282365
2022-01-01 10:00:00,461.9437917959051,393.7248893823041
2022-01-01 11:00:00,452.3800198255393,445.53114246032163
2022-01-01 12:00:00,520.3546339973703,493.7464830413364
2022-01-01 13:00:00,381.22226828314666,347.3347130030582
2022-01-01 14:00:00,584.47784068534,479.07912381172173
2022-01-01 15:00:00,475.9671960820449,467.72236416692243
2022-01-01 16:00:00,493.5557030011966,376.63776000064286
2022-01-01 17:00:00,538.7340523420028,494.392748176332
2022-01-01 18:00:00,539.0121260368066,498.952363883281
2022-01-01 19:00:00,514.6392955169848,476.9696778978643
2022-01-01 20:00:00,576.9719478786683,570.9365749118958
2022-01-01 21:00:00,550.0846698805449,517.6137935851723
2022-01-01 22:00:00,470.7420175686121,422.77367786580214
2022-01-01 23:00:00,443.95235984166106,351.8398323399273
2022-01-02 00:00:00,520.1112454269565,491.04252844699045
2022-01-02 01:00:00,435.2101134581018,420.48521142784836
2022-01-02 02:00:00,458.5855478974892,430.9844494437608
2022-01-02 03:00:00,440.64452987732784,360.4417416497815
2022-01-02 04:00:00,445.1601273378242,410.292263772371
2022-01-02 05:00:00,478.27097410730175,403.6170855005382
2022-01-02 06:00:00,440.39178016560237,382.5642716842053
2022-01-02 07:00:00,393.2716018374308,352.3645951981427
2022-01-02 08:00:00,548.2116007429447,512.7375626604902
2022-01-02 09:00:00,539.9174753372887,524.6815129022424
2022-01-02 10:00:00,559.1004773317568,489.2901877351636
2022-01-02 11:00:00,521.1841773844744,473.6738817851252
2022-01-02 12:00:00,427.2262189448776,381.4050761553635
2022-01-02 13:00:00,545.6436020335792,474.52347679705684
2022-01-02 14:00:00,524.3725260413918,487.96560345185947
2022-01-02 15:00:00,493.3559955900103,447.0121718570164
2022-01-02 16:00:00,577.6064020019843,544.4152135710532
2022-01-02 17:00:00,430.34571894293754,416.34027201520894
2022-01-02 18:00:00,525.8188306462723,485.7668312787978
2022-01-02 19:00:00,555.6196845573216,537.3259535255772
2022-01-02 20:00:00,494.7048711915702,459.40961567622134
2022-01-02 21:00:00,472.22219196324875,450.13011174592555
2022-01-02 22:00:00,381.59320707639824,359.8501094839649
2022-01-02 23:00:00,453.6415730009379,419.6153949817988
2022-01-03 00:00:00,492.71296502822656,424.6619134860544
2022-01-03 01:00:00,464.15471366275995,435.5993923926305
2022-01-03 02:00:00,529.9112113212419,482.467073535426
2022-01-03 03:00:00,492.3389274259909,443.20910473361516
2022-01-03 04:00:00,399.40938957976346,371.97403917486463
2022-01-03 05:00:00,496.4401178035327,414.04695205233986
2022-01-03 06:00:00,483.8564856600454,450.396758452621
2022-01-03 07:00:00,472.26423627991755,444.24591396093916
2022-01-03 08:00:00,465.4533453775386,426.69679141983255
2022-01-03 09:00:00,495.66591592641714,417.67885330732827
2022-01-03 10:00:00,437.3233572662153,411.194940503886
2022-01-03 11:00:00,522.9066899074004,475.9114486733278
2022-01-03 12:00:00,528.5084283903253,456.31098840570223
2022-01-03 13:00:00,455.3149784987137,359.9298620214133
